respondent_id,persona,age_group,gender,city_tier,monthly_hh_income,hh_type,products_used_shampoo,products_used_conditioner,products_used_body_wash,products_used_bar_soap,products_used_dishwash,products_used_laundry,products_used_floor_cleaner,products_used_toilet_cleaner,primary_channel,actual_spend_personal_care,actual_spend_mid,total_hh_spend_monthly,purchase_drivers_price,purchase_drivers_brand_trust,purchase_drivers_ingredients,purchase_drivers_eco_pkg,purchase_drivers_efficacy,purchase_drivers_fragrance,purchase_drivers_recommendation,purchase_drivers_availability,habit_strength,eco_concern_score,prior_eco_purchase,green_identity,lifestyle_exercise_yoga,lifestyle_track_waste,lifestyle_organic_food,lifestyle_eco_content,lifestyle_lifestyle_change,lifestyle_repair_reuse,greenwashing_skepticism,premium_willingness_pct,brand_switch_readiness,hard_water_waxy_hair,hard_water_poor_lather,hard_water_softener,hard_water_no_issue,trust_signal_lab_tests,trust_signal_certification,trust_signal_friend_rec,trust_signal_influencer_rec,trust_signal_free_sample,trust_signal_money_back,trust_signal_reviews,peer_eco_usage,discovery_channel,format_interest_shampoo_bar,format_interest_dishwash_block,format_interest_laundry_sheets,format_interest_body_bar,format_interest_surface_tablets,format_interest_conditioner_bar,format_interest_toilet_tablet,format_interest_none,barrier_efficacy_doubt,barrier_unfamiliar,barrier_price,barrier_availability,barrier_habit,barrier_humidity,barrier_no_concern,preferred_eco_channel,ayurveda_affinity,subscription_intent,bundle_pref_bathroom_kit,bundle_pref_kitchen_kit,bundle_pref_full_home,bundle_pref_trial_sampler,bundle_pref_gift_hamper,bundle_pref_no_bundle,eco_spend_willingness,max_price_shampoo_bar,max_price_laundry_sheets,pricing_model_pref,scenario_purchase_intent,overall_interest_score,interest_binary,interest_3class,actual_spend_mid_fill,aspiration_gap,lifestyle_score,format_interest_count,barrier_count,trust_signal_count,sdb_flag,is_outlier
R0011,Eco Warrior,25-34,Female,Tier2,gt200k,Single,1,1,1,0,0,0,1,1,Quick_commerce,701-1200,950.0,3000,1,1,0,1,1,1,1,1,lt6m,5,Yes_regularly,Curious,1,1,1,1,0,1,3,gt30,5,0,0,0,1,0,1,1,0,1,0,0,Friends_rec,Influencer,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,Brand_website,Very_imp,Try_first,1,1,1,1,0,0,1804,151-200,251-350,Monthly_sub,Order_now,5,1,Interested,950.0,854.0,5,4,0,3,0,0
R0012,Price Pragmatist,35-44,Female,Tier2,50-100k,Joint,1,1,0,0,0,1,1,1,Kirana,200-400,300.0,610,0,1,0,0,0,1,1,0,2-5y,3,No_not_priority,Occasional,0,0,0,0,0,0,4,1-10,4,0,0,0,1,0,0,1,0,1,0,0,No_circle,Marketplace_browse,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,Eco_store,Neutral,No,0,1,0,0,0,1,525,100-150,lt150,Quarterly_bulk,Research_first,2,0,Not_Interested,300.0,225.0,0,0,2,2,0,0
R0013,Price Pragmatist,45-54,Male,Tier3,lt25k,Family_large,1,0,0,1,1,1,1,1,Modern_trade,401-700,550.0,238,1,1,0,1,1,0,1,1,2-5y,5,No_not_priority,Not_priority,0,0,0,0,1,0,2,1-10,5,1,0,0,0,0,1,0,0,1,0,0,No_circle,Article_news,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,Supermarket,Very_imp,No,0,0,0,1,0,0,129,201-300,lt150,Single,No,2,0,Not_Interested,550.0,-421.0,1,2,3,2,0,0
R0014,Mindful Parent,35-44,Male,Tier1,lt25k,Family_small,1,1,0,1,1,1,1,0,D2C,,,297,1,1,0,0,1,1,1,0,lt6m,4,No_considered,Occasional,1,0,1,1,0,0,1,1-10,3,1,0,1,0,0,0,0,0,1,0,0,No_circle,Doctor_derm,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,Amazon,Somewhat,Yes_if_discount,0,1,0,0,0,1,229,151-200,lt150,Monthly_sub,Research_first,2,0,Not_Interested,,-321.0,3,3,0,1,0,0
R0015,Mindful Parent,45-54,Female,Tier2,50-100k,Family_small,1,1,1,1,1,1,0,0,Quick_commerce,200-400,300.0,519,1,1,1,1,0,0,1,0,No_fixed,3,Yes_few,Conscious_buyer,0,0,1,1,0,0,2,21-30,4,0,0,0,1,0,0,1,0,1,0,1,Friends_rec,Friend_family,1,0,0,1,1,1,1,0,0,1,0,1,1,0,0,Amazon,Very_imp,Yes_if_discount,1,1,0,0,0,0,579,151-200,251-350,Monthly_sub,Research_first,2,0,Not_Interested,300.0,279.0,2,5,3,3,0,0
R0016,Mindful Parent,35-44,Female,Metro,50-100k,Couple,1,1,1,1,1,1,1,1,Amazon_Flipkart,,,770,0,1,1,0,1,0,1,1,gt5y,4,No_considered,Occasional,0,0,1,0,1,1,4,21-30,4,1,0,0,0,0,1,1,0,1,0,0,I_influence,Influencer,1,0,1,0,0,1,1,0,1,1,0,0,0,0,0,Amazon,Somewhat,Yes_if_discount,1,0,0,0,1,0,1092,201-300,351-500,Monthly_sub,Order_now,5,1,Interested,,542.0,3,4,2,3,0,0
R0017,Mindful Parent,35-44,Female,Metro,100-200k,Family_small,1,0,1,1,1,1,1,1,Amazon_Flipkart,200-400,300.0,981,1,1,1,0,1,1,1,0,2-5y,5,No_considered,Occasional,1,0,1,0,0,0,2,1-10,4,1,0,0,0,0,0,0,0,1,1,0,Family_use,Influencer,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,Quick_comm,Very_imp,Yes_already,0,1,0,0,0,0,844,100-150,lt150,Monthly_sub,Order_now,3,0,Neutral,300.0,544.0,2,4,1,2,0,0
R0018,Urban Renter,18-24,Male,Metro,lt25k,Family_small,1,0,1,0,1,1,0,0,Quick_commerce,gt1200,1400.0,205,0,1,0,1,1,0,0,0,lt6m,4,Yes_few,Not_priority,0,0,0,0,0,1,3,11-20,4,0,0,0,1,0,0,0,0,1,1,0,No_circle,Influencer,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,Brand_website,Neutral,Yes_if_discount,0,0,0,1,1,1,189,151-200,351-500,Refill_system,Research_first,2,0,Not_Interested,1400.0,-1211.0,1,3,0,2,0,0
R0019,Eco Skeptic,45-54,Female,Tier2,25-50k,Family_large,0,1,0,1,0,1,0,1,Amazon_Flipkart,gt1200,1400.0,446,0,1,1,1,1,1,0,1,lt6m,2,Yes_few,Not_priority,0,0,1,1,0,0,4,1-10,2,0,0,0,1,1,1,0,1,1,0,1,Friends_rec,Free_sample,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,Amazon,Somewhat,No,0,0,0,0,0,0,442,201-300,gt500,Quarterly_bulk,Research_first,1,0,Not_Interested,1400.0,-958.0,2,2,3,5,0,0
R0020,Mindful Parent,35-44,Male,Tier1,100-200k,Family_small,1,1,0,1,1,0,1,1,Quick_commerce,401-700,550.0,1182,1,0,1,0,1,0,1,1,6m-2y,3,No_considered,Conscious_buyer,0,0,1,1,1,0,3,0,4,0,0,0,1,0,1,1,0,1,1,1,No_circle,Marketplace_browse,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,Nykaa,Very_imp,Yes_if_discount,1,0,0,0,0,0,992,151-200,251-350,Refill_system,Research_first,3,0,Neutral,550.0,442.0,3,4,1,5,0,0
R0021,Urban Renter,18-24,Male,Tier1,100-200k,Single,1,1,1,1,1,1,0,1,D2C,701-1200,950.0,1571,1,0,1,0,1,0,1,1,lt6m,5,No_considered,Curious,1,0,1,0,0,0,2,11-20,4,0,0,0,1,0,0,1,1,0,1,0,No_circle,Free_sample,0,1,1,1,1,1,1,0,0,1,0,0,1,1,1,Quick_comm,Very_imp,No,0,0,1,1,0,0,897,151-200,251-350,Refill_system,Unlikely,4,1,Interested,950.0,-53.0,2,6,3,3,0,0
R0022,Mindful Parent,35-44,Male,Tier2,gt200k,Family_small,1,1,1,1,1,1,0,1,Modern_trade,200-400,300.0,1316,1,1,0,0,1,1,0,0,6m-2y,4,No_considered,Curious,0,0,0,0,1,0,1,21-30,5,1,0,0,0,1,0,1,1,0,0,1,Family_use,Friend_family,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,Amazon,Somewhat,Yes_if_discount,0,0,0,1,0,0,1339,100-150,251-350,Monthly_sub,Unlikely,3,0,Neutral,300.0,1039.0,1,4,2,4,0,0
R0023,Mindful Parent,45-54,Male,Tier1,50-100k,Family_small,1,1,0,1,1,1,1,1,Amazon_Flipkart,gt1200,1400.0,1168,1,1,1,0,0,0,1,1,2-5y,4,No_considered,Occasional,0,1,1,1,1,0,4,11-20,2,0,1,0,0,0,1,1,1,1,0,1,I_influence,Eco_store,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Eco_store,Somewhat,Yes_if_discount,0,1,0,1,0,0,885,151-200,150-250,Single,Wishlist,2,0,Not_Interested,1400.0,-515.0,4,1,1,5,0,0
R0024,Eco Skeptic,35-44,Male,Tier3,50-100k,Family_large,1,0,1,1,1,1,1,0,Amazon_Flipkart,200-400,300.0,499,1,1,1,1,1,0,0,0,lt6m,3,Yes_few,Core_identity,0,0,1,1,1,0,5,0,2,0,0,0,1,1,1,0,0,1,0,1,No_circle,Friend_family,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,Amazon,Very_imp,No,0,1,0,1,0,1,758,lt100,150-250,Monthly_sub,Research_first,2,0,Not_Interested,300.0,458.0,3,1,2,4,0,0
R0025,Eco Skeptic,25-34,Male,Tier2,100-200k,Single,1,1,1,1,1,1,1,1,Modern_trade,401-700,550.0,1145,0,1,1,1,1,0,0,0,gt5y,3,Yes_few,Curious,1,0,1,1,0,1,5,gt30,4,0,0,0,1,1,1,0,0,1,1,0,Unsure,Friend_family,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,Amazon,Very_imp,No,0,0,0,0,0,0,893,151-200,251-350,Monthly_sub,Research_first,3,0,Neutral,550.0,343.0,4,1,3,4,0,0
R0026,Urban Renter,25-34,Male,Metro,lt25k,Single,1,0,1,0,1,1,0,1,Quick_commerce,,,172,1,1,1,0,1,0,1,1,6m-2y,5,Yes_regularly,Curious,0,0,0,1,1,0,3,21-30,3,1,0,0,0,0,0,0,0,1,0,0,Friends_rec,Influencer,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,Quick_comm,Neutral,Try_first,1,1,0,1,0,1,337,gt300,251-350,Monthly_sub,Order_now,5,1,Interested,,-213.0,2,4,3,1,0,0
R0027,Mindful Parent,35-44,Female,Metro,25-50k,Family_small,1,1,0,1,1,1,0,1,Modern_trade,401-700,550.0,743,0,1,1,0,1,0,0,0,gt5y,5,Yes_few,Occasional,0,1,1,1,1,0,4,1-10,2,0,1,0,0,0,0,1,1,1,0,0,I_influence,Marketplace_browse,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,Amazon,Not_imp,Yes_already,1,1,0,0,0,0,354,151-200,351-500,Monthly_sub,Wishlist,5,1,Interested,550.0,-196.0,4,4,1,3,0,0
R0028,Eco Skeptic,55+,Female,Metro,25-50k,Family_small,1,0,0,1,1,1,1,0,Amazon_Flipkart,401-700,550.0,363,1,0,1,0,0,0,0,1,2-5y,4,No_considered,Occasional,1,1,1,1,0,1,2,11-20,3,0,0,0,1,0,1,1,0,0,1,1,Family_use,Friend_family,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,Eco_store,Intl_std,Yes_if_discount,0,1,0,1,0,0,377,151-200,gt500,Single,No,2,0,Not_Interested,550.0,-173.0,5,1,2,4,0,0
R0029,Urban Renter,18-24,Female,Tier1,50-100k,Single,1,0,0,1,1,1,1,0,Modern_trade,200-400,300.0,753,0,0,0,0,1,0,0,0,lt6m,4,No_considered,Conscious_buyer,1,0,0,0,1,0,2,1-10,2,1,1,0,0,1,0,0,0,1,0,1,Friends_rec,Influencer,0,0,0,1,0,1,1,1,1,0,0,1,0,0,1,Brand_website,Very_imp,Yes_already,0,1,0,0,0,0,990,100-150,150-250,Monthly_sub,Order_now,3,0,Neutral,300.0,690.0,2,3,2,3,0,0
R0030,Eco Warrior,25-34,Female,Metro,50-100k,Single,1,0,1,0,1,1,1,1,D2C,701-1200,950.0,1585,1,1,0,1,1,1,0,0,lt6m,5,Yes_few,Core_identity,1,1,0,1,0,1,4,11-20,5,0,0,0,1,1,0,1,0,0,0,0,Unsure,Influencer,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,Amazon,Very_imp,Yes_if_discount,0,0,1,0,1,0,1231,151-200,351-500,Monthly_sub,Research_first,5,1,Interested,950.0,281.0,4,4,0,2,0,0
R0031,Urban Renter,25-34,Female,Metro,25-50k,Couple,1,1,1,1,1,1,1,0,Kirana,401-700,550.0,481,1,1,0,0,1,1,0,0,gt5y,4,No_not_priority,Occasional,0,0,0,1,1,1,2,1-10,4,0,0,0,1,1,1,1,0,1,1,0,No_circle,Influencer,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,Eco_store,Very_imp,Yes_if_discount,0,1,1,1,0,0,347,151-200,150-250,Quarterly_bulk,Unlikely,2,0,Not_Interested,550.0,-203.0,3,2,0,5,0,0
R0032,Mindful Parent,35-44,Male,Tier1,100-200k,Family_large,1,0,1,1,1,1,1,1,Amazon_Flipkart,401-700,550.0,1059,1,0,1,1,1,1,0,0,2-5y,5,No_not_priority,Occasional,1,0,1,1,1,0,2,1-10,3,0,0,0,1,0,0,0,1,0,0,0,Family_use,Article_news,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,Brand_website,Somewhat,Try_first,0,1,0,1,1,0,1642,151-200,150-250,Quarterly_bulk,Research_first,2,0,Not_Interested,550.0,1092.0,4,4,0,1,0,0
R0033,Eco Warrior,25-34,Male,Tier1,gt200k,Family_large,1,1,0,0,1,1,0,0,D2C,gt1200,1400.0,3000,1,1,0,1,0,0,1,1,6m-2y,5,Yes_regularly,Core_identity,1,1,1,0,1,1,2,gt30,5,1,0,0,0,0,1,0,1,1,0,1,Friends_rec,Free_sample,1,1,1,0,1,0,1,0,1,0,0,1,0,0,0,Brand_website,Very_imp,Yes_if_discount,0,1,1,0,1,0,3000,201-300,351-500,Single,Order_now,5,1,Interested,1400.0,1600.0,5,5,2,4,1,0
R0034,Price Pragmatist,35-44,Male,Tier2,50-100k,Joint,1,0,1,0,1,0,0,1,Kirana,401-700,550.0,424,1,0,1,1,1,1,0,1,gt5y,1,No_considered,Occasional,1,1,1,0,0,0,3,11-20,4,0,0,0,1,0,1,1,1,1,1,0,Family_use,Marketplace_browse,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,Supermarket,Neutral,No,0,1,0,1,0,1,311,100-150,lt150,Single,Unlikely,2,0,Not_Interested,550.0,-239.0,3,3,3,5,0,0
R0035,Price Pragmatist,35-44,Female,Tier2,lt25k,Family_small,1,1,1,0,0,1,1,1,Modern_trade,lt200,150.0,154,0,1,0,1,1,1,1,0,gt5y,4,No_not_priority,Not_priority,1,0,1,0,0,1,3,11-20,2,1,0,0,0,0,0,0,0,1,0,1,No_circle,Friend_family,1,0,0,0,1,0,0,1,0,1,1,1,1,0,1,Brand_website,Very_imp,Yes_if_discount,0,0,1,0,0,0,189,100-150,251-350,Monthly_sub,Unlikely,1,0,Not_Interested,150.0,39.0,3,2,4,2,0,0
R0036,Price Pragmatist,25-34,Male,Tier3,25-50k,Joint,1,1,1,1,1,0,1,1,Pharmacy,200-400,300.0,175,1,0,0,0,0,1,1,0,2-5y,4,No_not_priority,Not_priority,0,0,0,0,1,0,4,1-10,3,0,0,0,1,0,0,1,1,0,0,1,Unsure,Marketplace_browse,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,Eco_store,Somewhat,Yes_if_discount,0,0,0,0,0,0,433,lt100,251-350,Single,Research_first,1,0,Not_Interested,300.0,133.0,1,0,5,3,0,0
R0037,Mindful Parent,35-44,Female,Tier2,50-100k,Family_large,1,0,0,1,1,1,1,1,Quick_commerce,200-400,300.0,748,1,0,0,0,0,0,0,1,6m-2y,2,No_considered,Core_identity,1,0,1,0,1,0,3,gt30,4,0,0,0,1,1,0,0,0,0,0,1,Family_use,Friend_family,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,Amazon,Very_imp,No,1,0,0,1,1,0,714,151-200,251-350,Single,Research_first,3,0,Interested,300.0,414.0,3,5,0,2,0,0
R0038,Eco Warrior,25-34,Male,Metro,100-200k,Single,1,1,0,1,1,1,0,1,Amazon_Flipkart,,,2094,1,0,0,1,1,1,1,1,2-5y,5,No_not_priority,Occasional,1,1,1,1,1,1,4,11-20,4,0,1,0,0,0,0,0,1,1,0,0,Friends_rec,Influencer,0,1,1,1,1,0,1,0,1,0,0,0,0,0,1,Brand_website,Very_imp,Try_first,0,0,1,1,0,0,2057,100-150,251-350,Monthly_sub,Order_now,5,1,Interested,,1507.0,6,5,1,2,0,0
R0039,Urban Renter,18-24,Female,Tier2,25-50k,Couple,1,1,1,0,0,1,1,0,Amazon_Flipkart,200-400,300.0,472,1,0,1,1,0,0,0,1,2-5y,4,Yes_regularly,Conscious_buyer,1,0,0,0,0,0,3,21-30,3,0,0,0,1,1,1,0,1,0,0,0,Family_use,Influencer,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,Brand_website,Neutral,Try_first,1,0,0,1,0,0,506,151-200,251-350,Quarterly_bulk,Unlikely,3,0,Neutral,300.0,206.0,1,6,1,3,0,0
R0040,Eco Skeptic,35-44,Female,Tier3,50-100k,Single,1,1,0,1,1,1,1,0,Quick_commerce,401-700,550.0,532,0,1,1,1,1,0,0,1,6m-2y,4,No_not_priority,Occasional,0,0,1,0,0,0,5,0,2,0,0,0,1,1,1,0,1,1,0,0,Friends_rec,Marketplace_browse,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Amazon,Intl_std,Yes_if_discount,0,0,0,1,0,1,479,100-150,150-250,Monthly_sub,Research_first,2,0,Not_Interested,550.0,-71.0,1,1,1,4,1,0
R0041,Mindful Parent,25-34,Male,Tier3,50-100k,Family_small,1,1,0,0,1,1,0,1,D2C,401-700,550.0,1022,0,1,0,0,1,1,0,0,2-5y,4,Yes_few,Conscious_buyer,0,0,0,0,1,0,2,1-10,3,0,0,0,1,0,0,1,0,1,1,0,Family_use,Influencer,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,Eco_store,Very_imp,No,0,1,1,0,0,0,978,100-150,251-350,Monthly_sub,Wishlist,4,1,Interested,550.0,428.0,1,3,1,3,0,0
R0042,Eco Skeptic,35-44,Female,Metro,25-50k,Joint,1,1,1,0,1,1,0,1,D2C,lt200,150.0,256,1,0,1,0,1,0,0,1,lt6m,5,Yes_regularly,Conscious_buyer,1,0,0,1,1,1,3,1-10,4,1,0,0,0,0,0,0,1,1,1,1,No_circle,Marketplace_browse,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,Nykaa,Intl_std,Yes_if_discount,0,0,0,1,0,0,380,100-150,251-350,Quarterly_bulk,Unlikely,3,0,Neutral,150.0,230.0,4,2,3,4,0,0
R0043,Eco Warrior,18-24,Female,Tier1,50-100k,Single,1,1,1,1,1,0,0,0,D2C,701-1200,950.0,982,1,0,0,0,1,0,1,0,lt6m,5,Yes_regularly,Core_identity,1,1,0,1,1,1,4,21-30,4,1,0,0,0,0,0,1,1,1,0,1,Friends_rec,Eco_store,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0,Supermarket,Intl_std,Yes_already,0,0,0,1,0,0,1215,gt300,251-350,Single,Order_now,5,1,Interested,950.0,265.0,5,5,1,4,0,0
R0044,Price Pragmatist,35-44,Male,Tier3,25-50k,Family_small,1,1,0,1,1,1,1,1,Kirana,200-400,300.0,489,1,0,1,0,0,0,1,1,lt6m,3,No_not_priority,Occasional,0,0,0,0,0,0,2,11-20,4,0,1,0,0,0,0,0,1,1,0,1,I_influence,Friend_family,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,Amazon,Very_imp,Yes_if_discount,1,0,0,0,0,1,491,151-200,150-250,Quarterly_bulk,Wishlist,4,1,Interested,300.0,191.0,0,2,2,3,0,0
R0045,Mindful Parent,25-34,Male,Tier1,gt200k,Single,1,1,1,1,1,1,0,1,D2C,401-700,550.0,1245,1,0,0,0,1,0,1,0,6m-2y,3,Yes_few,Occasional,1,0,1,0,1,0,5,1-10,5,0,0,0,1,1,1,1,1,1,1,0,No_circle,Friend_family,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,Amazon,Neutral,Yes_if_discount,0,0,1,0,0,0,2381,gt300,251-350,Single,Research_first,2,0,Not_Interested,550.0,1831.0,3,5,0,6,0,0
